,url
90,b'https://banen.monsterboard.nl/stage-data-analist-zorg-in-onderwijs-den-haag-nl-ministerie-van-onderwijs/05f7c3bf-a7d4-451a-9587-54f54324a438'
91,b'https://banen.monsterboard.nl/supply-chain-analyst-limburg-li-nl-medtronic/759b03d1-fdfd-42d9-9655-3ca7a1004454'
92,b'https://banen.monsterboard.nl/tax-analyst-spanish-or-italian-hoek-ze-nl-randstad/222153817'
93,b'https://banen.monsterboard.nl/tax-analyst-spanish-or-italian-hoek-ze-nl-tempo-team/222117744'
94,b'https://banen.monsterboard.nl/technical-web-analyst-amsterdam-nl-cooder-x-valtech/cee6064b-66f9-46e3-bd04-04c552f21aab'
95,b'https://banen.monsterboard.nl/technical-web-analyst-amsterdam-nl-pvh-corp/ad360739-2d43-4ab5-b2f2-83a38db2d80e'
96,b'https://banen.monsterboard.nl/transport-data-analyst-job-kerkrade-li-nl-kerkrade-li-nl-boston-scientific/ba9e6a30-8081-4b07-a292-0cd423027a4b'
97,b'https://banen.monsterboard.nl/vacancy-process-analyst-eindhoven-nb-nl-unipartners/957b5a8b-8188-4f01-896b-fb0c85be18d3'
98,b'https://banen.monsterboard.nl/vacature-big-data-analytics-trainees-gezocht-amsterdam-nh-nl-otwee/6bfd8b19-1dfb-4023-a9c3-f510f3c6b5ce'
99,b'https://banen.monsterboard.nl/vacature-junior-data-analisten-en-datascientisten-utrecht-ut-nl-otwee/af68c0c1-3bbe-49dd-95d9-48e84f4769b1'
100,b'https://banen.monsterboard.nl/wat-je-doet-als-business-analist-platform-quality-utrecht-ut-nl-bol-com/80affeae-f6be-4bdc-bde5-922b893dfcc3'
101,b'https://banen.monsterboard.nl/webanalist-diemen-nh-nl-randstad-corporate-recruitment/221830227'
